ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
REX,-0.013864022815556043,56,0,0,0.7,0.1745
REXR,-0.06261453011364425,34,1,3,0.8,0.2349
REYN,0.12880267631682,85,0,0,0.0,0.0542
REZI,-0.06018813678774045,35,0,0,0.55,0.2414
RF,0.06088272236029088,76,0,0,0.05,0.0745
RFAI,-0.037553036930687234,45,1,9,0.7,0.1543
RFAIU,-0.03152535894106512,48,1,9,0.85,0.1473
RFI,-0.03872971035307181,44,1,2,0.45,0.1212
RFIL,0.13949136883862834,86,1,6,0.4,0.2146
RFL,0.3968870983911805,96,1,4,0.2,0.4172
RFM,-0.00823746023826448,58,0,0,0.1,0.0762
RFMZ,-0.005231459693340795,59,1,2,0.2,0.0661
RGA,0.07766959606925228,79,0,0,0.0,0.0675
RGC,-0.7971987034186453,0,1,43,1.0,0.8779
RGCO,-0.011678563028711599,57,1,1,0.25,0.0863
RGEN,0.10160324491254669,83,0,0,0.0,0.2336
RGLD,-0.16581339598712572,16,1,15,0.9,0.4126
RGNT,0.5026395714106979,97,0,0,0.3,
RGNX,0.7642766333264424,98,0,0,0.15,0.2075
RGP,0.0589539550272995,76,0,0,0.5,0.0739
